"","name","age","mw","league","year","points","ranking","logmw"
"105","Aston Villa",25.1,5.33,"Premier League",2011,48,9,1.67335123817775
"106","Everton",23.9,5.58,"Premier League",2011,54,7,1.71918877639322
"107","West Ham",25.1,4.08,"Premier League",2011,33,20,1.40609698841607
"108","Sunderland",23.7,3.52,"Premier League",2011,47,10,1.25846098961001
"109","Fulham",27.5,3.29,"Premier League",2011,49,8,1.19088756477728
"110","Birmingham",25.8,3.03,"Premier League",2011,39,18,1.10856261952128
"111","Stoke",27,2.92,"Premier League",2011,46,13,1.07158361628019
"112","Newcastle",23.7,2.52,"Premier League",2011,46,14,0.924258901523332
"113","Blackburn",25.1,2.57,"Premier League",2011,43,15,0.943905898907128
"114","Bolton",25.4,2.75,"Premier League",2011,46,12,1.01160091167848
"115","West Brom",24.3,2.3,"Premier League",2011,47,11,0.832909122935104
"116","Wolves",23.7,1.83,"Premier League",2011,40,17,0.60431596685333
"117","Wigan",24,2.06,"Premier League",2011,42,16,0.72270598280149
"118","Blackpool",24.2,0.886,"Premier League",2011,39,19,-0.121038328377056
"119","Barcelona",23.8,16.5,"LaLiga",2011,96,1,2.80336038090653
"120","Real Madrid",23.3,13.34,"LaLiga",2011,92,2,2.59076704048748
"121","Sevilla",24.4,6.43,"LaLiga",2011,58,7,1.86097453824953
"122","Ath Madrid",24,6.55,"LaLiga",2011,58,5,1.87946504964716
"123","Valencia",25.4,5.57,"LaLiga",2011,71,3,1.71739505393919
"124","Villarreal",24.3,4.27,"LaLiga",2011,62,4,1.45161382724053
"125","Ath Bilbao",24.2,3.28,"LaLiga",2011,58,6,1.18784342239605
"126","Malaga",25.5,2.23,"LaLiga",2011,46,11,0.802001585472027
"127","La Coruna",25.5,2.25,"LaLiga",2011,43,18,0.810930216216329
"128","Getafe",24.4,2.37,"LaLiga",2011,44,17,0.86288995514704
"129","Zaragoza",25.1,2.23,"LaLiga",2011,45,15,0.802001585472027
"130","Osasuna",27.1,2.29,"LaLiga",2011,47,9,0.828551817566148
"131","Almeria",24.9,2.22,"LaLiga",2011,30,20,0.797507195884188
"132","Santander",25,2.08,"LaLiga",2011,46,12,0.732367893713227
"133","Hercules",25.8,1.92,"LaLiga",2011,35,19,0.65232518603969
"134","Espanol",23.3,1.75,"LaLiga",2011,49,8,0.559615787935423
"135","Sp Gijon",24.8,1.75,"LaLiga",2011,47,10,0.559615787935423
"136","Mallorca",25.1,2.01,"LaLiga",2011,44,16,0.698134722070984
"137","Sociedad",24.8,1.67,"LaLiga",2011,45,14,0.512823626428664
"138","Levante",25.7,0.827,"LaLiga",2011,45,13,-0.189950583958446
"139","Inter",24.6,8.87,"Serie A",2011,76,2,2.18267479632149
"140","Milan",26.2,7.74,"Serie A",2011,82,1,2.04640168760164
"141","Juventus",24.5,6.52,"Serie A",2011,58,7,1.87487437593856
"142","Roma",25.2,5.93,"Serie A",2011,63,6,1.78002421300963
"143","Fiorentina",23.4,4.95,"Serie A",2011,51,9,1.5993875765806
"144","Genoa",23.8,3.75,"Serie A",2011,51,10,1.32175583998232
"145","Napoli",24.8,3.35,"Serie A",2011,70,3,1.20896034583698
"146","Sampdoria",23,2.81,"Serie A",2011,36,18,1.03318448334565
"147","Lazio",25.6,2.64,"Serie A",2011,66,5,0.970778917158225
"148","Udinese",23.2,2.81,"Serie A",2011,66,4,1.03318448334565
"149","Parma",24.2,2.41,"Serie A",2011,46,12,0.879626747502564
"150","Palermo",22.7,1.95,"Serie A",2011,56,8,0.667829372575655
"151","Cagliari",26.3,2,"Serie A",2011,45,15,0.693147180559945
"152","Catania",25.3,1.96,"Serie A",2011,46,13,0.672944473242426
"153","Cesena",24.9,1.44,"Serie A",2011,43,16,0.364643113587909
"154","Bari",24.2,1.38,"Serie A",2011,24,20,0.322083499169113
"155","Chievo",25.7,1.28,"Serie A",2011,46,11,0.246860077931526
"156","Brescia",24.7,1.14,"Serie A",2011,32,19,0.131028262406404
"157","Bologna",23.4,1.24,"Serie A",2011,45,14,0.215111379616945
"158","Lecce",24.1,0.959,"Serie A",2011,41,17,-0.0418642040986989
"159","Bayern Munich",24.7,9.18,"1. Bundesliga",2011,65,3,2.2170272046324
"160","Wolfsburg",24.8,6.2,"1. Bundesliga",2011,38,15,1.82454929205105
"161","Leverkusen",24.1,4.89,"1. Bundesliga",2011,68,2,1.58719230348678
